College Code,College Name,2023,2024,Difference
1416,"Jaya Sakthi Engineering College, St.Mary's Nagar,Thiruninravur,(Near Avadi), Thiruvallur, Chennai-602024.",286,290,4
1419,"Sri Sai Ram Engineering College (Autonomous), SaiLeo Nagar, Poonthandalam Village, Dharkast Post,West Tambram, Kanchipuram, Chennai-600044.",986,1047,61
1420,"Tagore Engineering College, Rathinamangalam,Vandalur, Kanchipuram, Chennai-600127.",217,251,34
1421,"V.R.S. College of Engineering and Technology, Arasur& Post, Ulundurpet Taluk, Villupuram District-607107.",363,340,-23
1422,"SRM Valliammai Engineering College (Autonomous),S.R.M. Nagar, Kattankulathur, Chengalpattu,Kancheepuram, Chennai-603203.",519,566,47
1423,"Asan Memorial College of Engineering andTechnology, Asan Nagar, 9th kilometer, ChengalpattuMahabalipuram Highway, Post Box No.6,Chengalpattu-603001.",121,217,96
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",316,253,-63
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",211,283,72
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",244,245,1
1428,"E.S.College of Engineering and Technology, ChennaiTrunk Road, Ayyankoilpattu, Villupuram-605602.",207,203,-4
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",194,381,187
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",272,528,256
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",379,870,491
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",350,343,-7
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",271,253,-18
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",242,212,-30
1438,"Sree Krishna College of Engineering, Anaicut Post,Unnai Village, Vellore-632101.",167,166,-1
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",234,282,48
1442,"Prince Dr. K. Vasudevan College of Engineering andTechnology, Medavakkam-Mambakkam Road,Ponmar, Chennai-600127.",122,124,2
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",143,193,50
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",254,353,99
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",244,272,28
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",160,191,31
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",299,358,59
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",190,221,31
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",239,228,-11
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",459,601,142
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",201,203,2
1507,"Ganadipathy Tulsi's Jain Engineering College, Chittoor-Cuddalore Road, Kaniyambadi, Vellore-632102.",195,244,49
1509,"Meenakshi College of Engineering, 12,VembuliAmman Koil Street, West K K Nagar, Chennai-600078.",366,372,6
1510,"Priyadarshini Engineering College, ChettiyappanurVillage & Post, Vaniyambadi, Vellore-635751.",229,265,36
1511,"RANIPPETTAI ENGINEERING COLLEGE,THENKADAPPANTHANGAL, VELLORE DISTRICT632513",214,177,-37
1512,"S.K.P. Engineering College, Chinnkangiyanur,Somasipadi Post, Tiruvannamalai District-606611.",244,299,55
1513,"Sri Balaji Chockalingam Engineering College,Irumbedu, Arni Taluk,Tiruvannamalai District-632317.",114,197,83
1514,"Sri Nandhanam College of Engineering andTechnology, Molagarampatti, Tirupattur, Vellore-635601.",229,54,-175
1516,Thanthai Periyar Government Institute of TechnologyBagayam  Vellore District 632002,377,381,4
1517,"Thirumalai Engineering College, Kilambi,Krishnapuram Post, Kanchipuram-631551.",235,314,79
1518,"Thiruvalluvar College of Engineering and Technology,Arunachala City,Ponnur Hills, Vandavasi,Thiruvannamalai District-604505.",530,531,1
1519,"Bharathidasan Engineering College, K.BandarapalliPost, Nattrampalli, Vellore District-635854.",289,367,78
1520,"Kingston Engineering College, Chittoor Main Road,Chiristianpet Village, Mettukulam Panchayat, KatpadiTaluk, Vellore District-632059.",211,212,1
1523,"Global Institute of Engineering and Technology,257/1, Bangalore-Chennai Highway,Melvisharam,Vellore-632509.",228,265,37
1524,"Annamalaiar College Of Engineering, Chetpet-PolurRoad, Polur Taluk, Thiruvannamalai District-606902.",177,185,8
1525,"Podhigai College of Engineering and Technology,Salem Main Road, Adiyur Post, TirupatturTaluk,Tirupattur, Vellore District.-635601.",230,220,-10
1526,"Sri Krishna College of Engineering, T.R.S. Campus, SriKrishna Nagar, Tiruttani Road,Arakkonam, Vellore-631003.",158,159,1
1529,"Oxford College of Engineering, Venmani Village,Karaipoondi Post, Polur, Tiruvannamalai-606803.",271,176,-95
1605,"Idhaya Engineering College for Women,Nainarpalayam Road,Chinna Salem, VillupuramDistrict.-606201.",176,177,1
2005,Government College of Technology (Autonomous)Thadagam Road  Coimbatore District 641013,639,653,14
2006,PSG College of Technology (Autonomous)  PeelameduCoimbatore District 641004,977,992,15
2007,Coimbatore Institute of Technology (Autonomous)Civil Aerodrome Post  Coimbatore District 641014,543,549,6
